measure,cancer,year,sex,state,deaths count,"Crude rate
(per 100,000)","Age-standardised rate
2001 Australian Standard Population 
(per 100,000)","Age-standardised rate
2024 Australian population 
(per 100,000",icd_codes
Mortality,All cancers combined,2014,Persons,Northern Territory,295,124.9,227.6,299.4,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2014,Persons,Australia,43558,185.5,160.3,212.1,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,New South Wales,14628,192.1,158.3,208.3,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,Victoria,11223,186.4,157.7,209.5,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,Queensland,8577,179.5,161.7,213.5,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,Western Australia,4154,163.5,156.3,206.4,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,South Australia,3854,226.6,166.8,220.5,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,Tasmania,1324,257,186.1,246,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,Australian Capital Territory,508,132.8,143.2,189.2,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,Northern Territory,308,128.8,224.5,293,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2015,Persons,Australia,44622,187.4,160.2,211.6,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,New South Wales,14448,186.8,152.2,201.4,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,Victoria,11370,184.2,156,206.2,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,Queensland,8866,183,161.7,214.3,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,Western Australia,4144,162.1,152,202.1,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,South Australia,3656,213.4,155.8,204.8,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,Tasmania,1227,237.1,169.5,221.9,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,Australian Capital Territory,537,137.8,146.3,193.6,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,Northern Territory,312,128.8,219.1,285.3,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2016,Persons,Australia,44624,184.5,156,206.3,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,New South Wales,14991,190.8,153.8,204.1,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,Victoria,11057,175.4,146.7,195,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,Queensland,9086,184.4,159.8,212.4,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,Western Australia,4080,157.8,144.4,191.2,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,South Australia,3803,220,158.6,208.9,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,Tasmania,1273,241.7,167.5,223.2,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,Australian Capital Territory,552,139.1,145.6,193.2,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,Northern Territory,319,130.5,217.7,284.1,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2017,Persons,Australia,45187,183.7,153.1,203.1,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,New South Wales,15197,191,152.3,202.2,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,Victoria,11273,175.5,145.8,193.8,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,Queensland,9162,183,156.1,206.9,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,Western Australia,4203,160.6,143.3,189.8,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,South Australia,3984,228.2,160.9,213.4,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,Tasmania,1240,230.8,160.3,212.1,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,Australian Capital Territory,566,139.4,144.7,192.1,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,Northern Territory,321,130.7,211.1,275.4,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2018,Persons,Australia,45970,184.2,151.6,201.1,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,New South Wales,15728,195.5,153.8,204.6,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,Victoria,11481,175.6,144.7,192.4,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,Queensland,9333,183.4,153,203.8,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,Western Australia,4113,154.6,134.6,178.8,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,South Australia,4005,226.6,157.4,208.7,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,Tasmania,1337,244,167.5,221.9,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,Australian Capital Territory,580,139.7,143.1,190.6,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,Northern Territory,321,130.5,207.9,272.4,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2019,Persons,Australia,46935,185.3,150.1,199.6,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,New South Wales,15584,192.1,148.1,196.7,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,Victoria,11864,179.3,143.9,192.5,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,Queensland,9491,183.7,150.4,199.9,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,Western Australia,4378,161.4,136.6,181.9,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,South Australia,4057,226.6,155.4,205.9,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,Tasmania,1310,234.9,157.7,209.2,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,Australian Capital Territory,597,140.4,141.9,189.8,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,Northern Territory,311,125.8,193.1,253.3,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2020,Persons,Australia,47576,185.5,147,195.7,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
